,model_name,MSE,R2
71,RandomForestRegressor_max_depth2_n100,19.647143940297436,0.6199206536768671
72,RandomForestRegressor_max_depth4_n100,7.351762174598475,0.8924429671393082
73,RandomForestRegressor_max_depth6_n100,4.162319541879106,0.9425619222381459
74,RandomForestRegressor_max_depth8_n100,2.533671335543504,0.9662443318244769
75,RandomForestRegressor_max_depth10_n100,1.7937432736143235,0.9764217714778541
76,RandomForestRegressor_max_depth12_n100,1.5642077376884476,0.9796184368742974
77,RandomForestRegressor_max_depth14_n100,1.577853439074274,0.9794745075168183
78,RandomForestRegressor_max_depth16_n100,1.43125001160273,0.9812946397807091
79,RandomForestRegressor_max_depth18_n100,1.439121862667807,0.9812690426385874
80,RandomForestRegressor_max_depth20_n100,1.5445357817976268,0.9798601942563208
81,RandomForestRegressor_max_depth22_n100,1.335838250355731,0.9826937517910175
82,RandomForestRegressor_max_depth24_n100,1.5299467317446205,0.9801511517916108
83,RandomForestRegressor_max_depth26_n100,1.434501901185771,0.9814012839908778
84,RandomForestRegressor_max_depth28_n100,1.6088555889328047,0.9789649635714117
85,RandomForestRegressor_max_depth2_n120,19.79946224607247,0.623852182996419
86,RandomForestRegressor_max_depth4_n120,7.5270628494035625,0.8901032781283867
87,RandomForestRegressor_max_depth6_n120,4.164021828716669,0.9426338769812764
88,RandomForestRegressor_max_depth8_n120,2.499803943242768,0.9666887499473882
89,RandomForestRegressor_max_depth10_n120,1.7417931967233238,0.9774272467233535
90,RandomForestRegressor_max_depth12_n120,1.6531750479287983,0.9783310449459567
91,RandomForestRegressor_max_depth14_n120,1.6054226190969434,0.9791878138966927
92,RandomForestRegressor_max_depth16_n120,1.5379455413369525,0.9799207475784684
93,RandomForestRegressor_max_depth18_n120,1.3319208981765247,0.9828885019963542
94,RandomForestRegressor_max_depth20_n120,1.4738728669255545,0.9808890570882547
95,RandomForestRegressor_max_depth22_n120,1.5108763438239368,0.9802437671947067
96,RandomForestRegressor_max_depth24_n120,1.353914185770752,0.982394128673901
97,RandomForestRegressor_max_depth26_n120,1.599950732872201,0.9791125033113018
98,RandomForestRegressor_max_depth28_n120,1.4375102396245056,0.9812787180605187
99,RandomForestRegressor_max_depth2_n140,20.08688372156444,0.6193478349279123
100,RandomForestRegressor_max_depth4_n140,7.31355955752294,0.8928041993933307
101,RandomForestRegressor_max_depth6_n140,4.097805499256261,0.9439920545807636
102,RandomForestRegressor_max_depth8_n140,2.3267470836550443,0.9692505040120212
103,RandomForestRegressor_max_depth10_n140,1.6568354261278289,0.9782657077586515
104,RandomForestRegressor_max_depth12_n140,1.5412100168374876,0.9800329586415734
105,RandomForestRegressor_max_depth14_n140,1.4325111736431444,0.981353304909441
106,RandomForestRegressor_max_depth16_n140,1.3523054769785499,0.9825601113080985
107,RandomForestRegressor_max_depth18_n140,1.4425078256337436,0.9813029154118014
108,RandomForestRegressor_max_depth20_n140,1.4718967061012338,0.9808291043445496
109,RandomForestRegressor_max_depth22_n140,1.389790151145441,0.9820280123532614
110,RandomForestRegressor_max_depth24_n140,1.4207077670000816,0.981439642973365
111,RandomForestRegressor_max_depth26_n140,1.4699309258288307,0.9809197135433371
112,RandomForestRegressor_max_depth28_n140,1.4172372297733333,0.9815716499179561
113,RandomForestRegressor_max_depth2_n160,19.466122771346182,0.6271065595186878
114,RandomForestRegressor_max_depth4_n160,7.416329879279577,0.8905316943380813
115,RandomForestRegressor_max_depth6_n160,3.92140660223371,0.9464533368015542
116,RandomForestRegressor_max_depth8_n160,2.4555744766376897,0.9676459841296748
117,RandomForestRegressor_max_depth10_n160,1.7554617217018804,0.9771250928477215
